127.0.0.1 - - [10/Jun/2017:23:28:21 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/images/slider-imgs/slide2-img.jpg HTTP/1.1" 200 119476
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/images/product-images/spl-product-img3.jpg HTTP/1.1" 200 1973
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/images/product-images/spl-product-img1.jpg HTTP/1.1" 200 2854
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/images/banners/2col-banner1.jpg HTTP/1.1" 200 14606
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/images/slider-imgs/slide1-img.jpg HTTP/1.1" 200 48157
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/images/products/15_1.jpg HTTP/1.1" 200 9703
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/images/banners/side-banner1.jpg HTTP/1.1" 200 25573
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/font-awesome/fonts/fontawesome-webfont78ce.woff?v=4.2.0 HTTP/1.1" 200 65452
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/images/products/12_1.jpg HTTP/1.1" 200 10059
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/images/products/14_1.jpg HTTP/1.1" 200 11701
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/images/product-images/spl-product-img2.jpg HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/images/products/8_1.jpg HTTP/1.1" 200 10012
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/images/products/13_1.jpg HTTP/1.1" 200 15558
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/images/products/11_1.jpg HTTP/1.1" 200 16949
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/images/banners/2col-banner2.jpg HTTP/1.1" 200 10657
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/images/products/9_1.jpg HTTP/1.1" 200 11600
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/images/product-images/9.jpg HTTP/1.1" 200 50675
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/images/products/7_1.jpg HTTP/1.1" 200 28589
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/images/products/10_1.jpg HTTP/1.1" 200 16053
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/images/product-images/10.jpg HTTP/1.1" 200 40387
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/images/product-images/11.jpg HTTP/1.1" 200 47858
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/images/products/6_1.jpg HTTP/1.1" 200 21943
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/images/payment-icon/cirrus.png HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/images/payment-icon/paypal.png HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/images/payment-icon/visa.png HTTP/1.1" 200 2655
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/images/payment-icon/mastercard.png HTTP/1.1" 200 3357
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/images/payment-icon/americanexpress.png HTTP/1.1" 200 4079
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:47 +0530] "GET /sunelectronics/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:49 +0530] "GET /sunelectronics/resources/images/fav.html HTTP/1.1" 200 11812
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:28:56 +0530] "GET /sunelectronics/resources/images/grabbing.png HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "POST /sunelectronics/cart/add HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/ HTTP/1.1" 200 41328
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/logo.png HTTP/1.1" 200 11290
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/product-images/spl-product-img3.jpg HTTP/1.1" 200 1973
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/product-images/spl-product-img1.jpg HTTP/1.1" 200 2854
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/slider-imgs/slide1-img.jpg HTTP/1.1" 200 48157
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/banners/side-banner1.jpg HTTP/1.1" 200 25573
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/products/15_1.jpg HTTP/1.1" 200 9703
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/product-images/spl-product-img2.jpg HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/products/14_1.jpg HTTP/1.1" 200 11701
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/slider-imgs/slide2-img.jpg HTTP/1.1" 200 119476
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/banners/2col-banner1.jpg HTTP/1.1" 200 14606
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/products/11_1.jpg HTTP/1.1" 200 16949
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/banners/2col-banner2.jpg HTTP/1.1" 200 10657
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/products/12_1.jpg HTTP/1.1" 200 10059
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/products/9_1.jpg HTTP/1.1" 200 11600
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/products/7_1.jpg HTTP/1.1" 200 28589
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/products/13_1.jpg HTTP/1.1" 200 15558
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/products/8_1.jpg HTTP/1.1" 200 10012
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/products/10_1.jpg HTTP/1.1" 200 16053
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/products/6_1.jpg HTTP/1.1" 200 21943
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/product-images/9.jpg HTTP/1.1" 200 50675
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/product-images/10.jpg HTTP/1.1" 200 40387
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/payment-icon/paypal.png HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/payment-icon/cirrus.png HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/payment-icon/visa.png HTTP/1.1" 200 2655
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/product-images/11.jpg HTTP/1.1" 200 47858
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/payment-icon/mastercard.png HTTP/1.1" 200 3357
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:04 +0530] "GET /sunelectronics/resources/images/payment-icon/americanexpress.png HTTP/1.1" 200 4079
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:15 +0530] "GET /sunelectronics/cart/init HTTP/1.1" 200 22296
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:15 +0530] "GET /sunelectronics/resources/css/bootstrap.min.css HTTP/1.1" 200 121204
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:15 +0530] "GET /sunelectronics/resources/css/responsive.css HTTP/1.1" 200 4914
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:15 +0530] "GET /sunelectronics/resources/js/jquery.autocomplete.js HTTP/1.1" 200 32713
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:15 +0530] "GET /sunelectronics/resources/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:15 +0530] "GET /sunelectronics/resources/js/ajax/cartOperations.js HTTP/1.1" 200 1392
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:15 +0530] "GET /sunelectronics/resources/css/owl.carousel.css HTTP/1.1" 200 1486
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:15 +0530] "GET /sunelectronics/resources/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 22004
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:15 +0530] "GET /sunelectronics/resources/css/style.css HTTP/1.1" 200 23490
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:15 +0530] "GET /sunelectronics/resources/js/jquery-migrate-1.2.1.min.js HTTP/1.1" 200 7199
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:15 +0530] "GET /sunelectronics/resources/js/autocomplete-search.js HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:15 +0530] "GET /sunelectronics/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:15 +0530] "GET /sunelectronics/resources/js/bootstrap-hover-dropdown.min.js HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:16 +0530] "GET /sunelectronics/resources/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20947
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:16 +0530] "GET /sunelectronics/resources/js/owl.carousel.min.js HTTP/1.1" 200 23890
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:16 +0530] "GET /sunelectronics/resources/js/custom.js HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:16 +0530] "GET /sunelectronics/resources/images/logo.png HTTP/1.1" 200 11290
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:16 +0530] "GET /sunelectronics/resources/images/products/15_1.jpg HTTP/1.1" 200 9703
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:16 +0530] "GET /sunelectronics/resources/images/payment-icon/cirrus.png HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:16 +0530] "GET /sunelectronics/resources/images/payment-icon/paypal.png HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:16 +0530] "GET /sunelectronics/resources/images/payment-icon/visa.png HTTP/1.1" 200 2655
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:16 +0530] "GET /sunelectronics/resources/images/payment-icon/mastercard.png HTTP/1.1" 200 3357
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:16 +0530] "GET /sunelectronics/resources/images/payment-icon/americanexpress.png HTTP/1.1" 200 4079
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:16 +0530] "GET /sunelectronics/resources/font-awesome/fonts/fontawesome-webfont78ce.woff?v=4.2.0 HTTP/1.1" 200 65452
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:16 +0530] "GET /sunelectronics/resources/images/fav.html HTTP/1.1" 200 11812
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:37 +0530] "POST /sunelectronics/cart/remove HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:37 +0530] "GET /sunelectronics/cart/init HTTP/1.1" 200 16341
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:37 +0530] "GET /sunelectronics/cart/init HTTP/1.1" 200 16341
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:37 +0530] "GET /sunelectronics/resources/images/logo.png HTTP/1.1" 200 11290
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:37 +0530] "GET /sunelectronics/resources/images/payment-icon/americanexpress.png HTTP/1.1" 200 4079
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:37 +0530] "GET /sunelectronics/resources/images/payment-icon/visa.png HTTP/1.1" 200 2655
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:37 +0530] "GET /sunelectronics/resources/images/payment-icon/cirrus.png HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:37 +0530] "GET /sunelectronics/resources/images/payment-icon/paypal.png HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:37 +0530] "GET /sunelectronics/resources/images/payment-icon/mastercard.png HTTP/1.1" 200 3357
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:41 +0530] "GET /sunelectronics/product/viewAllProducts HTTP/1.1" 200 40394
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:41 +0530] "GET /sunelectronics/resources/css/bootstrap.min.css HTTP/1.1" 200 121204
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:41 +0530] "GET /sunelectronics/resources/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 22004
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:41 +0530] "GET /sunelectronics/resources/css/style.css HTTP/1.1" 200 23490
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:41 +0530] "GET /sunelectronics/resources/css/responsive.css HTTP/1.1" 200 4914
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:41 +0530] "GET /sunelectronics/resources/js/jquery.autocomplete.js HTTP/1.1" 200 32713
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:41 +0530] "GET /sunelectronics/resources/css/owl.carousel.css HTTP/1.1" 200 1486
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:41 +0530] "GET /sunelectronics/resources/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:41 +0530] "GET /sunelectronics/resources/js/ajax/cartOperations.js HTTP/1.1" 200 1392
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:41 +0530] "GET /sunelectronics/resources/js/autocomplete-search.js HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:41 +0530] "GET /sunelectronics/resources/images/logo.png HTTP/1.1" 200 11290
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:41 +0530] "GET /sunelectronics/resources/js/jquery-migrate-1.2.1.min.js HTTP/1.1" 200 7199
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:41 +0530] "GET /sunelectronics/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:41 +0530] "GET /sunelectronics/resources/js/bootstrap-hover-dropdown.min.js HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:41 +0530] "GET /sunelectronics/resources/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20947
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:41 +0530] "GET /sunelectronics/resources/js/owl.carousel.min.js HTTP/1.1" 200 23890
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:41 +0530] "GET /sunelectronics/resources/js/custom.js HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:41 +0530] "GET /sunelectronics/resources/images/product-images/pimg1.jpg HTTP/1.1" 200 16937
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:41 +0530] "GET /sunelectronics/resources/images/products/1_1.jpg HTTP/1.1" 200 22440
0:0:0:0:0:0:0:1 - - [10/Jun/2017:23:29:41 +0530] "GET /sunelectronics/resources/images/products/2_1.jpg HTTP/1.1" 200 25182
